stakes,northing,easting,zones,aspect,slope,watershed,SYear,maxDepth,Stake_ID,OLS.Prediction.Ring.5,DIST_FT,DIST_M,DBH_IN,DBH_CM,DIST_FT_SD,DIST_M_SD,DBH_IN_SD,DBH_CM_SD,n,prop_Coniferous,Co
S200,464819.0,5262240.0,Upland,193.3626,6.632267,S2,2023,70.0,S200,0.3807094494836223,17.566666666666666,5.35432,8.261154910166667,20.98333333333333,4.23241459846898,1.290039969613345,3.0018506850109725,7.624700689604846,12,0.0,7
S200,464819.0,5262240.0,Upland,193.3626,6.632267,S2,2024,22.0,S200,0.3807094494836223,17.566666666666666,5.35432,8.261154910166667,20.98333333333333,4.23241459846898,1.290039969613345,3.0018506850109725,7.624700689604846,12,0.0,7
S201,464819.0,5262292.0,Upland,115.0966,3.120716,S2,2023,59.0,S201,0.4038039646843095,14.7,4.4805600000000005,9.534120797833332,24.21666666666667,5.262967179207159,1.6041523962223423,4.554939691406104,11.569546739812491,18,0.1111111111111111,9
S201,464819.0,5262292.0,Upland,115.0966,3.120716,S2,2024,18.0,S201,0.4038039646843095,14.7,4.4805600000000005,9.534120797833332,24.21666666666667,5.262967179207159,1.6041523962223423,4.554939691406104,11.569546739812491,18,0.1111111111111111,9
S203,464819.0,5262396.0,Upland,135.0012,7.45287,S2,2023,49.0,S203,1.3737736031131726,16.4875,5.02539,5.725885864562501,14.54375,6.042943543230125,1.8418891919765423,1.5687527411254452,3.98463193616006,16,0.4375,11
S203,464819.0,5262396.0,Upland,135.0012,7.45287,S2,2024,12.0,S203,1.3737736031131726,16.4875,5.02539,5.725885864562501,14.54375,6.042943543230125,1.8418891919765423,1.5687527411254452,3.98463193616006,16,0.4375,11
S204,464819.0,5262448.0,Upland,254.4066,9.503919,S2,2023,36.0,S204,1.7509840180577307,18.0,5.486400000000001,7.533464616650001,19.135,5.862638170294111,1.7869321143056451,1.990276415860437,5.055302062920516,20,0.65,16
S204,464819.0,5262448.0,Upland,254.4066,9.503919,S2,2024,17.0,S204,1.7509840180577307,18.0,5.486400000000001,7.533464616650001,19.135,5.862638170294111,1.7869321143056451,1.990276415860437,5.055302062920516,20,0.65,16
S205,464819.0,5262500.0,Upland,355.2919,3.051387,S2,2023,62.0,S205,0.7784483223843466,18.42142857142857,5.614851428571429,9.3897638415,23.85,4.967924589330511,1.51422341482794,5.624650778786538,14.286612883826162,14,0.1428571428571428,3
S205,464819.0,5262500.0,Upland,355.2919,3.051387,S2,2024,20.0,S205,0.7784483223843466,18.42142857142857,5.614851428571429,9.3897638415,23.85,4.967924589330511,1.51422341482794,5.624650778786538,14.286612883826162,14,0.1428571428571428,3
S211,464744.8,5262292.0,Lagg,332.3497,0.84887,S2,2023,64.0,S211,1.086375191726843,15.142857142857142,4.615542857142858,6.962879686,17.685714285714287,3.645022698995231,1.1110029186537462,2.1194646664024326,5.383440217131475,7,0.8571428571428571,4
S211,464744.8,5262292.0,Lagg,332.3497,0.84887,S2,2024,18.0,S211,1.086375191726843,15.142857142857142,4.615542857142858,6.962879686,17.685714285714287,3.645022698995231,1.1110029186537462,2.1194646664024326,5.383440217131475,7,0.8571428571428571,4
S212,464744.8,5262344.0,Lagg,291.1621,2.37949,S2,2023,58.0,S212,1.5149067515618166,16.075,4.89966,6.714004543750001,17.053571428571427,6.3440625493156695,1.933670265031416,4.315217718291854,10.960652932121,28,0.6785714285714286,12
S212,464744.8,5262344.0,Lagg,291.1621,2.37949,S2,2024,16.0,S212,1.5149067515618166,16.075,4.89966,6.714004543750001,17.053571428571427,6.3440625493156695,1.933670265031416,4.315217718291854,10.960652932121,28,0.6785714285714286,12
S213,464744.8,5262396.0,Bog,120.0787,0.78623,S2,2023,78.0,S213,1.7920409339700636,19.13636363636364,5.832763636363636,5.991410204181818,15.21818181818182,6.8760850383445264,2.095830719687412,0.8888955096432056,2.2577945795922982,11,1.0,8
S213,464744.8,5262396.0,Bog,120.0787,0.78623,S2,2024,20.0,S213,1.7920409339700636,19.13636363636364,5.832763636363636,5.991410204181818,15.21818181818182,6.8760850383445264,2.095830719687412,0.8888955096432056,2.2577945795922982,11,1.0,8
